# GRID
# fP fPz phi
# -2.0 2.0 101 -2.0 2.0 101 0.0 0.0 1
# fP fBz phi RH
-2.0 0.2400000000000002 0.0 -2.8888
-2.0 0.28000000000000025 0.0 -2.8935999999999997
-2.0 0.31999999999999984 0.0 -2.8983999999999996
-2.0 0.3599999999999999 0.0 -2.9031999999999996
-2.0 0.3999999999999999 0.0 -2.908
-2.0 0.43999999999999995 0.0 -2.9128
-2.0 0.48 0.0 -2.9175999999999997
-2.0 0.52 0.0 -2.9223999999999997
-2.0 0.56 0.0 -2.9271999999999996
-2.0 0.6000000000000001 0.0 -2.932
-2.0 0.6400000000000001 0.0 -2.9368
-2.0 0.6800000000000002 0.0 -2.9415999999999998
-2.0 0.7200000000000002 0.0 -2.9464
-2.0 0.7600000000000002 0.0 -2.9511999999999996
-2.0 0.8000000000000003 0.0 -2.956
-2.0 0.8399999999999999 0.0 -2.9607999999999994
-2.0 0.8799999999999999 0.0 -2.9656
-2.0 0.9199999999999999 0.0 -2.9703999999999997
-2.0 0.96 0.0 -2.9752
-2.0 1.0 0.0 -2.98
-2.0 1.04 0.0 -2.9847999999999995
-2.0 1.08 0.0 -2.9896
-2.0 1.12 0.0 -2.9943999999999997
-2.0 1.1600000000000001 0.0 -2.9992
-2.0 1.2000000000000002 0.0 -3.004
-2.0 1.2400000000000002 0.0 -3.0088
-2.0 1.2800000000000002 0.0 -3.0136
-2.0 1.3200000000000003 0.0 -3.0183999999999997
-2.0 1.3599999999999999 0.0 -3.0231999999999997
-2.0 1.4 0.0 -3.0279999999999996
-2.0 1.44 0.0 -3.0328
-2.0 1.48 0.0 -3.0376
-2.0 1.52 0.0 -3.0423999999999998
-2.0 1.56 0.0 -3.0471999999999997
-2.0 1.6 0.0 -3.0519999999999996
-2.0 1.6400000000000001 0.0 -3.0568
-2.0 1.6800000000000002 0.0 -3.0616
-2.0 1.7200000000000002 0.0 -3.0664
-2.0 1.7600000000000002 0.0 -3.0711999999999997
-2.0 1.8000000000000003 0.0 -3.0759999999999996
-2.0 1.8399999999999999 0.0 -3.0807999999999995
-2.0 1.88 0.0 -3.0855999999999995
-2.0 1.92 0.0 -3.0904
-2.0 1.96 0.0 -3.0952
-2.0 2.0 0.0 -3.0999999999999996
-1.96 -2.0 0.0 -2.387999999999999
-1.96 -1.96 0.0 -2.392799999999999
-1.96 -1.92 0.0 -2.397599999999999
-1.96 -1.88 0.0 -2.402399999999999
-1.96 -1.84 0.0 -2.4071999999999996
-1.96 -1.8 0.0 -2.411999999999999
-1.96 -1.76 0.0 -2.4167999999999985
-1.96 -1.72 0.0 -2.421599999999999
-1.96 -1.68 0.0 -2.4263999999999992
-1.96 -1.6400000000000001 0.0 -2.431199999999999
-1.96 -1.6 0.0 -2.435999999999999
-1.96 -1.56 0.0 -2.440799999999999
-1.96 -1.52 0.0 -2.445599999999999
-1.96 -1.48 0.0 -2.4503999999999992
-1.96 -1.44 0.0 -2.455199999999999
-1.96 -1.4 0.0 -2.459999999999999
-1.96 -1.3599999999999999 0.0 -2.464799999999999
-1.96 -1.3199999999999998 0.0 -2.469599999999999
-1.96 -1.28 0.0 -2.4743999999999993
-1.96 -1.24 0.0 -2.4791999999999987
-1.96 -1.2 0.0 -2.483999999999999
-1.96 -1.1600000000000001 0.0 -2.488799999999999
-1.96 -1.12 0.0 -2.493599999999999
-1.96 -1.08 0.0 -2.4983999999999993
-1.96 -1.04 0.0 -2.503199999999999
-1.96 -1.0 0.0 -2.507999999999999
-1.96 -0.96 0.0 -2.512799999999999
-1.96 -0.9199999999999999 0.0 -2.517599999999999
-1.96 -0.8799999999999999 0.0 -2.522399999999999
-1.96 -0.8400000000000001 0.0 -2.527199999999999
